,No.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17
759,761,2,1.0,0,2.0,1,9,7.0,14,1.0,4.0,2.0,3,0,3.0,4,3,3.0,3,3.0,2.0,2.0,2.0,3.0,3.0,4,3.0,2.0,3,2.0,6.0
760,762,1,3.0,0,2.0,1,9,7.0,12,2.0,2.0,1.0,3,1,2.0,3,3,3.0,3,2.0,3.0,2.0,2.0,1.0,2.0,2,3.0,2.0,2,1.0,8.0
761,763,2,2.0,0,3.0,2,9,7.0,14,2.0,4.0,1.0,5,1,3.0,3,3,2.0,2,2.0,2.0,3.0,2.0,2.0,2.0,2,2.0,3.0,3,2.0,6.0
763,765,2,1.0,0,2.0,1,5,1.0,12,1.0,1.0,2.0,4,2,2.0,3,3,4.0,3,2.0,2.0,3.0,2.0,2.0,2.0,2,2.0,2.0,2,1.0,8.0
765,767,2,6.0,0,3.0,1,3,3.0,12,2.0,1.0,2.0,1,1,2.0,5,2,2.0,4,2.0,3.0,1.0,3.0,1.0,2.0,3,3.0,3.0,1,2.0,10.0
766,768,2,2.0,0,3.0,2,8,8.0,4,2.0,1.0,1.0,3,3,1.0,2,2,2.0,3,2.0,2.0,3.0,3.0,3.0,2.0,3,3.0,2.0,2,2.0,8.0
767,769,2,4.0,0,3.0,1,3,7.0,8,2.0,1.0,2.0,2,2,3.0,4,3,3.0,4,3.0,3.0,3.0,2.0,4.0,3.0,3,4.0,3.0,3,3.0,5.0
768,770,2,4.0,0,3.0,5,9,7.0,14,2.0,2.0,1.0,2,2,2.0,2,3,2.0,3,2.0,2.0,2.0,2.0,3.0,2.0,3,3.0,3.0,3,2.0,7.0
769,771,2,5.0,0,1.0,1,9,7.0,2,2.0,2.0,1.0,3,4,1.0,1,1,1.0,1,2.0,1.0,1.0,1.0,3.0,1.0,1,1.0,1.0,2,1.0,10.0
770,772,2,2.0,0,2.0,1,9,7.0,8,1.0,1.0,2.0,3,0,3.0,2,2,2.0,3,3.0,3.0,3.0,3.0,3.0,2.0,3,3.0,3.0,2,2.0,7.0
771,773,2,2.0,0,1.0,1,10,3.0,10,4.0,4.0,2.0,1,5,5.0,4,3,3.0,4,4.0,3.0,3.0,3.0,3.0,3.0,1,1.0,3.0,1,3.0,5.0
772,774,1,1.0,0,1.0,1,4,7.0,1,1.0,4.0,2.0,1,1,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,10.0
775,777,1,3.0,0,1.0,1,9,7.0,3,2.0,1.0,1.0,4,0,2.0,2,2,2.0,3,2.0,2.0,2.0,3.0,3.0,2.0,3,3.0,2.0,3,1.0,8.0
776,778,1,2.0,0,2.0,1,9,7.0,8,1.0,2.0,1.0,4,0,2.0,2,2,2.0,3,2.0,2.0,2.0,2.0,2.0,2.0,2,3.0,2.0,2,2.0,8.0
779,781,2,2.0,1,3.0,1,9,7.0,14,1.0,4.0,2.0,1,0,3.0,3,3,4.0,3,3.0,3.0,3.0,3.0,3.0,2.0,3,3.0,3.0,2,2.0,7.0
780,782,2,5.0,0,3.0,1,5,3.0,14,2.0,1.0,2.0,1,0,2.0,3,3,2.0,5,2.0,3.0,3.0,2.0,3.0,3.0,2,4.0,2.0,2,2.0,5.0
781,783,2,3.0,0,2.0,1,5,3.0,4,2.0,4.0,2.0,1,4,4.0,5,4,5.0,5,3.0,3.0,2.0,2.0,3.0,2.0,4,5.0,5.0,3,3.0,5.0
782,784,2,3.0,0,3.0,1,8,7.0,15,2.0,1.0,2.0,2,2,4.0,4,4,3.0,2,2.0,2.0,3.0,3.0,3.0,2.0,3,3.0,2.0,2,2.0,6.0
783,785,2,4.0,0,3.0,1,6,7.0,3,2.0,1.0,2.0,2,3,3.0,4,3,5.0,5,5.0,5.0,5.0,4.0,5.0,4.0,5,5.0,5.0,3,5.0,0.0
784,786,2,2.0,0,3.0,1,4,7.0,2,1.0,4.0,2.0,2,2,2.0,2,2,2.0,1,1.0,2.0,2.0,2.0,2.0,2.0,2,3.0,3.0,2,4.0,5.0
785,787,2,2.0,0,3.0,1,4,3.0,12,2.0,4.0,2.0,1,1,3.0,3,3,3.0,3,4.0,4.0,3.0,4.0,3.0,3.0,3,3.0,3.0,2,2.0,5.0
786,788,1,3.0,0,3.0,2,3,9.0,10,1.0,1.0,2.0,1,0,2.0,4,3,2.0,2,2.0,2.0,2.0,2.0,3.0,2.0,2,2.0,2.0,2,2.0,7.0
787,789,2,3.0,0,3.0,2,9,7.0,4,2.0,1.0,2.0,1,3,2.0,3,2,2.0,3,3.0,2.0,3.0,3.0,3.0,2.0,4,3.0,3.0,2,2.0,8.0
788,790,1,2.0,0,3.0,1,5,10.0,4,1.0,1.0,2.0,5,0,1.0,5,1,5.0,1,3.0,2.0,1.0,2.0,3.0,1.0,1,2.0,2.0,2,1.0,10.0
789,791,1,2.0,0,3.0,1,8,9.0,3,1.0,2.0,2.0,3,0,3.0,2,2,3.0,4,2.0,3.0,3.0,2.0,4.0,1.0,3,3.0,2.0,3,2.0,7.0
791,793,2,2.0,0,2.0,2,8,10.0,7,1.0,4.0,2.0,1,0,3.0,3,2,3.0,3,4.0,3.0,3.0,3.0,2.0,3.0,2,3.0,2.0,3,3.0,6.0
792,794,2,2.0,0,2.0,1,5,5.0,8,1.0,4.0,2.0,3,2,2.0,2,2,2.0,3,2.0,2.0,2.0,1.0,2.0,2.0,2,2.0,2.0,1,1.0,8.0
793,795,2,2.0,0,1.0,1,8,7.0,14,2.0,3.0,1.0,4,2,2.0,2,1,1.0,3,2.0,2.0,1.0,2.0,2.0,2.0,2,2.0,2.0,1,1.0,10.0
794,796,2,2.0,0,2.0,1,5,2.0,5,1.0,2.0,2.0,2,0,1.0,2,2,2.0,3,3.0,3.0,3.0,4.0,4.0,2.0,3,4.0,3.0,2,2.0,8.0
795,797,2,2.0,0,1.0,1,9,3.0,6,2.0,2.0,1.0,5,0,2.0,2,2,3.0,4,3.0,2.0,3.0,2.0,3.0,1.0,4,3.0,4.0,3,2.0,9.0
797,799,2,3.0,0,2.0,1,6,7.0,12,2.0,1.0,2.0,1,0,3.0,3,3,3.0,3,5.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,2,3.0,7.0
799,801,1,2.0,0,3.0,1,3,3.0,12,2.0,4.0,2.0,1,0,3.0,5,3,5.0,5,5.0,5.0,5.0,5.0,1.0,3.0,4,5.0,3.0,3,3.0,3.0
800,802,1,2.0,0,3.0,1,9,7.0,2,1.0,4.0,1.0,2,0,3.0,3,2,3.0,1,3.0,2.0,2.0,3.0,2.0,1.0,2,4.0,3.0,2,1.0,7.0
802,804,1,4.0,0,3.0,1,5,7.0,4,2.0,4.0,1.0,1,4,3.0,5,5,4.0,4,4.0,5.0,5.0,2.0,2.0,5.0,2,4.0,3.0,3,3.0,5.0
803,805,2,2.0,0,3.0,1,8,7.0,14,2.0,1.0,1.0,1,1,2.0,3,4,3.0,3,2.0,3.0,2.0,2.0,2.0,1.0,3,2.0,3.0,2,2.0,8.0
804,806,1,4.0,0,3.0,1,2,7.0,13,2.0,1.0,2.0,1,7,3.0,3,2,3.0,3,3.0,3.0,2.0,2.0,1.0,2.0,3,2.0,3.0,2,2.0,6.0
805,807,1,4.0,0,2.0,2,9,9.0,7,2.0,4.0,2.0,2,3,3.0,5,3,5.0,3,3.0,3.0,2.0,3.0,3.0,2.0,3,5.0,3.0,3,1.0,6.0
806,808,2,2.0,0,3.0,1,5,7.0,1,2.0,1.0,1.0,1,0,1.0,1,1,1.0,1,2.0,2.0,1.0,1.0,2.0,2.0,1,2.0,2.0,1,2.0,9.0
807,809,2,2.0,0,1.0,1,9,2.0,5,1.0,1.0,2.0,4,1,2.0,2,2,2.0,3,2.0,2.0,2.0,2.0,3.0,1.0,3,3.0,3.0,2,3.0,6.0
808,810,2,4.0,0,3.0,1,5,2.0,8,2.0,2.0,1.0,1,1,2.0,2,2,3.0,3,2.0,3.0,3.0,3.0,2.0,2.0,3,3.0,3.0,3,2.0,8.0
809,811,2,2.0,0,2.0,1,5,7.0,8,2.0,1.0,2.0,1,0,3.0,3,3,4.0,3,2.0,3.0,3.0,3.0,4.0,3.0,3,3.0,3.0,2,2.0,6.0
810,812,2,1.0,0,2.0,1,4,1.0,6,1.0,4.0,2.0,1,2,2.0,2,2,3.0,3,1.0,2.0,1.0,1.0,1.0,2.0,2,1.0,2.0,1,2.0,8.0
811,813,2,2.0,0,2.0,1,8,7.0,4,2.0,2.0,1.0,3,0,3.0,3,3,3.0,5,2.0,3.0,3.0,3.0,4.0,3.0,4,4.0,3.0,2,1.0,8.0
812,814,2,3.0,0,2.0,1,8,7.0,14,2.0,1.0,2.0,2,2,2.0,2,2,2.0,3,2.0,2.0,2.0,2.0,2.0,2.0,3,3.0,2.0,1,2.0,5.0
813,815,2,2.0,0,2.0,1,8,7.0,7,2.0,1.0,2.0,1,2,2.0,3,3,3.0,3,3.0,3.0,3.0,2.0,2.0,2.0,3,3.0,3.0,2,2.0,7.0
814,816,2,2.0,0,3.0,1,8,7.0,8,2.0,1.0,2.0,2,2,2.0,3,3,3.0,3,2.0,3.0,3.0,2.0,5.0,1.0,3,3.0,3.0,1,1.0,9.0
815,817,1,2.0,0,1.0,1,9,7.0,3,1.0,4.0,2.0,2,0,3.0,3,3,3.0,2,3.0,3.0,3.0,3.0,3.0,2.0,3,3.0,2.0,2,2.0,7.0
816,818,2,4.0,0,3.0,1,6,7.0,9,2.0,2.0,1.0,4,1,2.0,3,2,3.0,3,2.0,2.0,3.0,3.0,3.0,3.0,3,3.0,3.0,2,2.0,8.0
817,819,2,3.0,1,1.0,1,10,7.0,2,2.0,1.0,1.0,4,1,2.0,2,2,3.0,2,2.0,2.0,3.0,3.0,3.0,2.0,3,3.0,3.0,2,2.0,8.0
818,820,1,5.0,0,1.0,1,9,7.0,2,2.0,2.0,1.0,4,2,2.0,2,2,3.0,3,2.0,2.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,2.0,8.0
819,821,2,4.0,0,3.0,1,6,7.0,5,2.0,2.0,1.0,4,2,3.0,2,2,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,2.0,7.0
820,822,2,2.0,0,1.0,1,9,7.0,3,2.0,1.0,1.0,4,1,2.0,2,2,3.0,3,3.0,3.0,3.0,3.0,3.0,2.0,3,3.0,2.0,2,2.0,8.0
821,823,1,5.0,0,3.0,1,3,7.0,3,2.0,1.0,2.0,3,2,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,2,3.0,6.0
822,824,2,3.0,0,3.0,1,4,7.0,9,2.0,2.0,1.0,4,1,2.0,2,2,3.0,3,3.0,2.0,3.0,3.0,2.0,2.0,2,3.0,3.0,3,2.0,8.0
823,825,2,6.0,0,3.0,2,2,7.0,14,2.0,2.0,2.0,4,3,2.0,2,2,2.0,2,3.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2.0,2,1.0,9.0
824,826,2,5.0,0,3.0,1,2,7.0,4,2.0,2.0,1.0,3,2,2.0,3,3,3.0,3,3.0,2.0,3.0,3.0,2.0,2.0,3,3.0,2.0,2,2.0,8.0
825,827,2,2.0,0,3.0,1,9,10.0,5,2.0,1.0,2.0,1,1,2.0,2,2,2.0,4,4.0,1.0,2.0,3.0,2.0,1.0,3,3.0,3.0,3,2.0,8.0
826,828,2,2.0,0,3.0,1,4,3.0,12,2.0,4.0,2.0,1,0,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,1.0
827,829,1,4.0,0,3.0,1,9,4.0,5,2.0,1.0,1.0,4,0,3.0,3,2,3.0,3,3.0,3.0,3.0,1.0,3.0,1.0,3,3.0,1.0,1,2.0,8.0
828,830,1,2.0,0,3.0,1,10,7.0,12,1.0,1.0,2.0,2,2,1.0,1,1,1.0,1,2.0,3.0,3.0,3.0,4.0,1.0,3,3.0,3.0,2,2.0,7.0
829,831,2,2.0,0,2.0,1,9,5.0,14,1.0,1.0,2.0,5,2,3.0,4,4,3.0,2,4.0,4.0,3.0,2.0,1.0,3.0,4,4.0,3.0,2,2.0,6.0
831,833,1,2.0,0,2.0,1,8,5.0,7,2.0,4.0,2.0,1,2,3.0,3,3,3.0,5,3.0,2.0,2.0,3.0,3.0,4.0,3,5.0,3.0,4,2.0,7.0
832,834,1,2.0,1,2.0,1,9,8.0,8,1.0,2.0,2.0,3,0,2.0,3,2,2.0,3,3.0,3.0,3.0,2.0,5.0,2.0,3,3.0,3.0,2,2.0,5.0
833,835,2,1.0,0,3.0,1,5,8.0,14,1.0,3.0,2.0,5,2,3.0,3,3,3.0,3,3.0,3.0,3.0,5.0,3.0,3.0,3,3.0,3.0,2,2.0,7.0
834,836,1,3.0,1,3.0,1,3,4.0,14,1.0,4.0,2.0,2,2,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,10.0
835,837,1,6.0,0,3.0,7,3,3.0,13,2.0,2.0,2.0,1,5,1.0,5,5,4.0,1,2.0,1.0,1.0,2.0,1.0,1.0,1,3.0,1.0,3,1.0,8.0
836,838,2,4.0,0,1.0,1,2,10.0,9,2.0,4.0,2.0,2,3,3.0,2,2,4.0,2,2.0,2.0,2.0,2.0,2.0,1.0,3,2.0,2.0,2,4.0,7.0
837,839,1,3.0,1,1.0,1,10,8.0,2,2.0,2.0,2.0,4,3,4.0,4,4,2.0,5,2.0,4.0,4.0,2.0,2.0,2.0,4,4.0,4.0,2,4.0,5.0
838,840,1,2.0,0,2.0,1,9,6.0,14,1.0,4.0,2.0,4,0,2.0,4,1,2.0,3,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,8.0
840,842,1,2.0,0,3.0,1,4,8.0,12,1.0,4.0,2.0,1,0,3.0,3,3,3.0,3,4.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,2,3.0,5.0
841,843,2,5.0,0,3.0,1,4,8.0,8,2.0,4.0,2.0,2,3,4.0,4,3,4.0,2,4.0,4.0,2.0,2.0,2.0,3.0,2,4.0,2.0,2,2.0,8.0
842,844,2,3.0,0,3.0,1,9,8.0,12,2.0,1.0,1.0,3,1,4.0,4,4,4.0,3,3.0,4.0,4.0,3.0,4.0,3.0,4,4.0,3.0,3,3.0,5.0
843,845,1,3.0,0,3.0,1,8,8.0,6,2.0,2.0,1.0,5,2,3.0,3,3,3.0,4,3.0,3.0,3.0,2.0,2.0,2.0,3,4.0,2.0,2,1.0,8.0
844,846,1,4.0,0,3.0,2,3,8.0,8,2.0,1.0,1.0,2,2,3.0,4,3,3.0,3,2.0,2.0,2.0,4.0,3.0,3.0,2,4.0,2.0,2,3.0,8.0
845,847,1,2.0,0,2.0,1,9,8.0,14,1.0,4.0,2.0,2,0,3.0,4,3,4.0,2,3.0,3.0,2.0,4.0,4.0,3.0,3,4.0,2.0,2,2.0,6.0
846,848,2,2.0,0,2.0,2,6,8.0,14,4.0,1.0,2.0,2,2,5.0,5,5,4.0,3,4.0,3.0,5.0,3.0,1.0,3.0,5,5.0,5.0,3,3.0,6.0
847,849,1,1.0,0,2.0,1,4,8.0,6,1.0,1.0,2.0,1,0,1.0,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,10.0
852,854,2,2.0,0,2.0,1,7,8.0,10,2.0,1.0,1.0,1,0,2.0,3,2,3.0,3,3.0,2.0,3.0,3.0,4.0,3.0,3,3.0,3.0,3,2.0,8.0
853,855,2,5.0,0,3.0,2,9,8.0,5,2.0,1.0,2.0,3,4,3.0,3,3,4.0,3,5.0,4.0,4.0,3.0,3.0,3.0,3,2.0,2.0,2,1.0,6.0
856,858,2,3.0,0,3.0,1,3,8.0,6,2.0,1.0,2.0,1,6,1.0,3,2,4.0,1,2.0,1.0,1.0,1.0,2.0,1.0,1,3.0,3.0,3,3.0,8.0
857,859,2,4.0,0,3.0,6,9,8.0,3,2.0,2.0,1.0,4,2,2.0,1,2,3.0,4,4.0,2.0,3.0,2.0,3.0,2.0,4,4.0,3.0,3,3.0,9.0
858,860,2,6.0,0,3.0,1,3,8.0,14,2.0,1.0,2.0,2,3,3.0,3,3,3.0,3,2.0,2.0,3.0,2.0,1.0,3.0,3,3.0,2.0,2,2.0,5.0
859,861,1,3.0,0,1.0,2,9,8.0,6,2.0,2.0,1.0,4,2,2.0,3,2,3.0,3,3.0,3.0,3.0,3.0,3.0,2.0,3,3.0,2.0,3,1.0,6.0
860,862,2,5.0,0,1.0,1,6,8.0,14,2.0,1.0,1.0,3,4,3.0,3,3,4.0,2,3.0,3.0,2.0,3.0,2.0,1.0,3,3.0,2.0,2,3.0,7.0
861,863,2,2.0,0,2.0,1,9,8.0,7,1.0,1.0,2.0,3,0,2.0,3,3,2.0,4,3.0,3.0,2.0,2.0,2.0,2.0,3,4.0,2.0,2,2.0,7.0
862,864,2,2.0,0,2.0,1,9,8.0,12,1.0,4.0,2.0,3,0,2.0,3,3,2.0,3,4.0,3.0,4.0,2.0,4.0,2.0,3,4.0,3.0,2,2.0,7.0
863,865,1,3.0,0,3.0,1,4,8.0,9,2.0,3.0,2.0,2,3,5.0,4,4,3.0,3,3.0,3.0,3.0,3.0,4.0,3.0,3,3.0,3.0,3,3.0,5.0
864,866,2,5.0,0,3.0,1,2,8.0,8,1.0,1.0,2.0,3,2,3.0,3,4,2.0,4,3.0,4.0,3.0,4.0,1.0,2.0,4,3.0,3.0,2,3.0,8.0
865,867,1,1.0,0,2.0,1,4,8.0,14,1.0,4.0,2.0,1,1,2.0,3,2,2.0,2,4.0,3.0,3.0,3.0,3.0,2.0,2,3.0,3.0,3,1.0,10.0
866,868,1,6.0,0,3.0,1,2,8.0,14,2.0,4.0,2.0,3,4,3.0,3,3,3.0,5,2.0,3.0,2.0,2.0,2.0,3.0,3,4.0,3.0,3,3.0,6.0
867,869,1,5.0,0,3.0,1,2,8.0,14,2.0,1.0,2.0,3,3,3.0,4,3,4.0,3,2.0,3.0,4.0,2.0,3.0,3.0,2,4.0,3.0,3,2.0,7.0
868,870,1,3.0,0,2.0,2,9,8.0,10,2.0,1.0,2.0,2,2,4.0,4,4,3.0,1,2.0,3.0,3.0,2.0,3.0,2.0,3,3.0,2.0,1,2.0,6.0
869,871,1,3.0,0,1.0,1,9,8.0,8,2.0,1.0,2.0,2,3,2.0,4,3,4.0,4,3.0,3.0,3.0,4.0,4.0,3.0,2,2.0,3.0,2,2.0,7.0
871,873,2,5.0,0,3.0,1,5,8.0,9,2.0,2.0,1.0,3,6,2.0,2,2,2.0,1,5.0,2.0,2.0,2.0,2.0,2.0,2,5.0,3.0,2,2.0,8.0
872,874,1,5.0,0,3.0,1,3,8.0,12,2.0,1.0,2.0,1,2,2.0,5,2,5.0,1,1.0,4.0,2.0,2.0,2.0,2.0,1,5.0,2.0,2,2.0,7.0
873,875,1,2.0,0,3.0,1,8,8.0,5,2.0,1.0,2.0,3,0,1.0,3,2,3.0,3,3.0,3.0,2.0,2.0,2.0,2.0,3,3.0,2.0,2,2.0,8.0
875,877,2,4.0,0,3.0,1,3,8.0,9,2.0,4.0,2.0,1,5,3.0,3,2,2.0,2,3.0,2.0,3.0,2.0,2.0,2.0,3,2.0,3.0,2,2.0,8.0
876,878,2,4.0,0,3.0,1,2,8.0,9,2.0,1.0,1.0,1,3,1.0,1,2,1.0,1,2.0,2.0,1.0,1.0,1.0,1.0,2,2.0,1.0,1,1.0,5.0
877,879,2,3.0,0,3.0,1,8,8.0,9,2.0,1.0,1.0,2,2,2.0,2,2,3.0,2,2.0,2.0,3.0,3.0,4.0,3.0,2,3.0,3.0,3,3.0,5.0
878,880,2,6.0,0,3.0,1,2,8.0,14,3.0,1.0,2.0,1,3,2.0,1,1,1.0,5,2.0,2.0,2.0,2.0,2.0,2.0,2,1.0,2.0,2,1.0,10.0
879,881,1,5.0,0,1.0,1,5,8.0,12,2.0,1.0,2.0,2,2,2.0,4,3,2.0,2,3.0,2.0,3.0,2.0,3.0,3.0,4,5.0,3.0,3,2.0,5.0
880,882,1,4.0,0,1.0,1,5,8.0,11,2.0,1.0,1.0,1,3,3.0,3,3,3.0,5,3.0,3.0,4.0,3.0,3.0,3.0,4,4.0,3.0,2,3.0,7.0
881,883,1,3.0,0,2.0,1,10,3.0,5,1.0,1.0,1.0,2,1,3.0,3,3,3.0,4,4.0,2.0,2.0,1.0,3.0,3.0,2,2.0,2.0,2,2.0,8.0
882,884,1,2.0,0,2.0,1,8,2.0,4,1.0,4.0,2.0,3,0,3.0,3,3,4.0,3,3.0,4.0,4.0,2.0,2.0,4.0,3,3.0,3.0,2,2.0,8.0
883,885,2,2.0,0,3.0,1,3,8.0,8,2.0,4.0,2.0,1,0,3.0,4,4,4.0,4,4.0,3.0,3.0,3.0,2.0,3.0,4,3.0,3.0,2,3.0,6.0
884,886,2,3.0,0,3.0,1,4,8.0,8,2.0,1.0,2.0,1,2,4.0,5,4,5.0,5,4.0,4.0,5.0,5.0,3.0,3.0,4,4.0,4.0,2,3.0,6.0
886,888,2,5.0,0,3.0,1,3,8.0,14,2.0,1.0,2.0,1,3,5.0,5,5,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,3,3.0,8.0
887,889,2,4.0,0,3.0,1,5,3.0,8,2.0,2.0,1.0,1,3,1.0,1,1,2.0,1,2.0,2.0,1.0,3.0,2.0,2.0,3,3.0,3.0,2,1.0,8.0
888,890,1,2.0,0,2.0,1,6,8.0,5,1.0,1.0,1.0,2,1,3.0,3,3,2.0,3,3.0,3.0,3.0,3.0,2.0,2.0,3,4.0,3.0,2,1.0,8.0
889,891,1,3.0,0,3.0,1,5,8.0,10,2.0,4.0,1.0,2,4,3.0,3,4,4.0,4,2.0,3.0,3.0,2.0,3.0,3.0,3,4.0,5.0,5,3.0,5.0
890,892,1,2.0,0,2.0,1,3,8.0,8,2.0,1.0,1.0,3,2,2.0,3,5,2.0,2,3.0,2.0,3.0,3.0,2.0,2.0,2,4.0,2.0,2,2.0,7.0
892,894,2,1.0,0,3.0,1,4,8.0,9,2.0,4.0,2.0,1,0,3.0,4,2,2.0,1,3.0,3.0,2.0,2.0,3.0,3.0,3,2.0,1.0,3,2.0,5.0
893,895,1,1.0,0,2.0,3,8,10.0,8,1.0,4.0,1.0,5,1,1.0,1,2,1.0,2,1.0,3.0,4.0,1.0,1.0,2.0,3,4.0,3.0,1,1.0,10.0
894,896,2,2.0,0,1.0,1,9,8.0,9,2.0,1.0,1.0,4,1,1.0,2,2,3.0,2,2.0,2.0,2.0,3.0,2.0,2.0,2,3.0,2.0,2,1.0,9.0
897,899,1,2.0,1,2.0,1,5,10.0,12,1.0,1.0,2.0,2,1,3.0,3,4,4.0,4,2.0,2.0,2.0,3.0,3.0,2.0,4,3.0,3.0,1,2.0,7.0
898,900,1,1.0,0,2.0,2,6,10.0,11,1.0,4.0,2.0,1,1,3.0,3,3,4.0,3,3.0,3.0,4.0,2.0,3.0,2.0,3,3.0,3.0,3,2.0,8.0
899,901,2,4.0,0,3.0,1,3,10.0,5,2.0,1.0,2.0,2,4,3.0,3,2,2.0,3,3.0,3.0,3.0,3.0,2.0,2.0,3,3.0,3.0,2,2.0,7.0
900,902,2,4.0,0,1.0,1,9,7.0,2,2.0,2.0,1.0,3,3,2.0,2,2,2.0,1,2.0,2.0,3.0,2.0,2.0,3.0,2,2.0,2.0,2,2.0,8.0
901,903,1,3.0,0,3.0,1,8,4.0,6,2.0,1.0,1.0,1,0,3.0,3,3,3.0,2,3.0,4.0,4.0,4.0,2.0,4.0,3,4.0,3.0,2,3.0,5.0
902,904,1,2.0,0,3.0,4,2,8.0,12,2.0,1.0,2.0,1,1,3.0,5,5,5.0,1,2.0,3.0,2.0,1.0,1.0,1.0,3,3.0,3.0,2,3.0,6.0
903,905,1,5.0,0,3.0,2,2,8.0,10,2.0,1.0,2.0,1,4,5.0,5,5,2.0,2,2.0,2.0,2.0,2.0,4.0,3.0,2,3.0,3.0,3,3.0,6.0
904,906,2,5.0,0,3.0,1,1,8.0,14,2.0,1.0,2.0,1,4,1.0,3,3,4.0,3,3.0,2.0,2.0,3.0,2.0,1.0,4,5.0,4.0,3,3.0,8.0
905,907,2,1.0,0,2.0,1,5,8.0,8,1.0,4.0,2.0,1,3,3.0,4,4,3.0,3,4.0,4.0,4.0,2.0,2.0,2.0,4,4.0,4.0,2,3.0,6.0
906,908,1,3.0,0,3.0,1,8,7.0,10,2.0,1.0,1.0,2,1,1.0,2,2,3.0,2,1.0,2.0,3.0,3.0,1.0,1.0,1,3.0,3.0,1,2.0,8.0
910,912,2,5.0,0,3.0,7,2,3.0,14,2.0,1.0,2.0,1,4,2.0,5,5,4.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2,3.0,2.0,4,2.0,3.0
911,913,2,3.0,0,3.0,1,3,8.0,14,2.0,1.0,2.0,2,2,2.0,3,2,2.0,2,1.0,3.0,3.0,2.0,2.0,1.0,3,4.0,2.0,2,2.0,8.0
912,914,1,2.0,0,3.0,1,3,1.0,8,1.0,4.0,1.0,1,2,2.0,2,2,2.0,2,1.0,1.0,2.0,2.0,2.0,1.0,2,2.0,2.0,2,1.0,8.0
914,916,1,5.0,0,3.0,1,3,4.0,11,2.0,1.0,2.0,1,3,1.0,3,1,1.0,3,1.0,3.0,3.0,2.0,2.0,3.0,1,2.0,2.0,1,2.0,8.0
915,917,1,2.0,0,2.0,1,5,8.0,3,2.0,4.0,2.0,3,1,1.0,1,3,1.0,1,2.0,2.0,1.0,1.0,1.0,3.0,3,2.0,1.0,4,1.0,10.0
916,918,1,2.0,0,2.0,1,8,8.0,14,1.0,4.0,2.0,3,0,5.0,5,3,2.0,2,3.0,2.0,2.0,1.0,1.0,2.0,2,4.0,3.0,1,5.0,8.0
917,919,2,2.0,0,2.0,1,5,8.0,12,1.0,4.0,2.0,1,1,3.0,5,3,3.0,3,3.0,3.0,3.0,3.0,2.0,3.0,3,2.0,3.0,2,3.0,7.0
918,920,2,6.0,0,3.0,1,1,8.0,14,3.0,1.0,2.0,1,2,1.0,1,3,2.0,4,2.0,1.0,2.0,2.0,3.0,2.0,2,4.0,2.0,3,1.0,8.0
919,921,2,5.0,0,3.0,1,2,8.0,14,2.0,1.0,2.0,1,4,2.0,3,3,1.0,2,1.0,3.0,3.0,1.0,2.0,2.0,3,3.0,4.0,3,2.0,9.0
920,922,2,4.0,0,3.0,1,3,8.0,14,2.0,4.0,2.0,1,3,2.0,4,3,3.0,2,3.0,3.0,4.0,2.0,2.0,3.0,3,5.0,5.0,3,4.0,2.0
921,923,1,5.0,0,3.0,1,3,8.0,12,2.0,1.0,2.0,2,4,1.0,2,2,2.0,2,3.0,1.0,2.0,2.0,1.0,3.0,2,2.0,3.0,3,4.0,6.0
922,924,1,3.0,0,1.0,1,9,3.0,2,2.0,1.0,1.0,3,0,3.0,5,4,2.0,3,4.0,3.0,5.0,2.0,4.0,3.0,3,3.0,2.0,2,4.0,6.0
923,925,2,4.0,0,1.0,1,8,8.0,2,2.0,1.0,1.0,2,1,2.0,2,2,2.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,2.0,2,2.0,8.0
924,926,1,2.0,0,3.0,1,8,8.0,12,1.0,4.0,2.0,3,0,1.0,2,3,3.0,3,2.0,2.0,1.0,2.0,3.0,1.0,1,1.0,1.0,3,1.0,7.0
925,927,1,3.0,0,3.0,1,8,8.0,2,2.0,1.0,1.0,1,0,2.0,3,2,2.0,2,3.0,2.0,2.0,2.0,2.0,2.0,2,2.0,3.0,1,3.0,8.0
