,No.,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17
259,260,1,3.0,0,3.0,1,8,4.0,8,2.0,1.0,1.0,2,0,3.0,3,3,5.0,3,3.0,3.0,3.0,2.0,5.0,3.0,2,4.0,3.0,5,3.0,5.0
260,261,1,2.0,0,3.0,2,8,4.0,7,1.0,4.0,1.0,2,0,4.0,4,3,3.0,3,3.0,4.0,3.0,2.0,5.0,2.0,3,3.0,3.0,2,3.0,5.0
261,262,1,3.0,0,2.0,1,9,3.0,9,2.0,4.0,2.0,1,0,3.0,3,3,4.0,5,3.0,2.0,2.0,4.0,5.0,4.0,5,3.0,4.0,2,2.0,6.0
262,263,1,3.0,0,3.0,1,8,4.0,8,2.0,1.0,2.0,2,2,1.0,3,3,2.0,2,2.0,3.0,2.0,2.0,3.0,2.0,3,3.0,3.0,2,2.0,7.0
263,264,1,2.0,1,3.0,1,8,1.0,7,1.0,4.0,1.0,2,1,4.0,3,3,3.0,2,2.0,3.0,2.0,2.0,4.0,2.0,3,2.0,2.0,2,2.0,10.0
264,265,1,6.0,0,3.0,1,5,9.0,14,2.0,1.0,2.0,2,2,3.0,4,3,4.0,2,2.0,2.0,5.0,2.0,2.0,3.0,4,4.0,3.0,4,2.0,7.0
265,266,1,2.0,0,1.0,1,9,4.0,3,1.0,1.0,1.0,2,1,2.0,2,3,2.0,2,2.0,2.0,2.0,1.0,4.0,3.0,3,4.0,2.0,4,1.0,8.0
266,267,2,2.0,0,2.0,2,8,10.0,14,2.0,4.0,2.0,2,2,3.0,3,3,3.0,3,3.0,3.0,3.0,2.0,2.0,3.0,3,3.0,2.0,2,3.0,6.0
267,268,1,6.0,0,3.0,1,3,4.0,14,2.0,1.0,2.0,1,3,3.0,3,3,3.0,2,2.0,2.0,2.0,1.0,2.0,3.0,2,4.0,4.0,4,3.0,5.0
268,269,1,6.0,0,3.0,1,2,4.0,14,2.0,1.0,2.0,1,2,2.0,2,3,4.0,2,2.0,2.0,2.0,2.0,2.0,3.0,3,3.0,4.0,4,3.0,10.0
269,270,2,6.0,0,3.0,1,1,4.0,14,2.0,4.0,2.0,1,0,4.0,4,4,4.0,3,2.0,3.0,4.0,3.0,2.0,3.0,4,5.0,4.0,4,4.0,3.0
270,271,2,6.0,0,3.0,7,2,3.0,14,4.0,4.0,2.0,1,0,4.0,5,4,3.0,4,4.0,4.0,5.0,3.0,2.0,4.0,4,5.0,4.0,4,5.0,2.0
271,272,2,3.0,0,3.0,1,3,4.0,9,2.0,4.0,2.0,1,1,4.0,4,3,3.0,3,3.0,4.0,4.0,3.0,2.0,4.0,4,3.0,3.0,2,3.0,5.0
272,273,2,2.0,0,2.0,1,9,5.0,14,1.0,4.0,2.0,1,2,3.0,4,3,4.0,3,3.0,4.0,2.0,3.0,2.0,3.0,3,4.0,3.0,2,2.0,6.0
273,274,2,2.0,0,2.0,7,8,4.0,8,2.0,2.0,2.0,3,0,1.0,1,1,3.0,3,3.0,2.0,2.0,2.0,2.0,1.0,3,2.0,2.0,1,2.0,8.0
274,275,1,3.0,0,3.0,1,8,4.0,9,2.0,1.0,1.0,3,0,3.0,2,2,3.0,3,3.0,2.0,3.0,2.0,3.0,3.0,3,3.0,3.0,3,1.0,6.0
275,276,1,2.0,0,2.0,1,9,4.0,12,1.0,3.0,2.0,1,0,3.0,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3,3.0,3.0,4,2.0,7.0
276,277,1,3.0,0,3.0,2,6,4.0,5,4.0,1.0,2.0,3,1,2.0,3,2,4.0,3,2.0,2.0,3.0,2.0,2.0,2.0,3,3.0,3.0,2,2.0,7.0
